month,OIL,COAL,COPPER,IRONORE,ALUMINIUM,PALMOIL,RUBBER,LNG,NICKEL,ZINC,COFFEEARABICA,COFFEEROBUSTA,LEAD,TIN,HARDWOOD,SOFTWOOD
2011-01-01,92.6638095238095,140.9935714285710,9533.20000000000,179.6300000000000,2439.70000000000,1238.571822070440,250.3616863461190,10.81000000000000,25621.22500000000,2375.812500000000,262.9447368421050,106.0263157894740,2583.975000000000,27439.35000000000,907.782400000000,306.919749465834
2011-02-01,97.7320000000000,134.6244642857140,9880.93750000000,187.1800000000000,2515.26000000000,1248.552611740940,280.7876187279440,11.89000000000000,28412.17500000000,2473.450000000000,288.0831578947370,114.6184210526320,2595.575000000000,31619.65000000000,927.808500000000,292.495690459311
2011-03-01,108.6452173913040,135.9712732919250,9503.35869565217,169.3565217391300,2555.50000000000,1142.231241951960,245.7822761923280,12.18000000000000,26710.34782608700,2341.478260869570,294.4834782608690,122.4608695652170,2624.021739130440,30590.93478260870,929.217250000000,283.847260354731
2011-04-01,116.3169841269840,131.5255952380950,9482.75000000000,179.2611111111110,2667.41666666667,1123.786844158520,265.4924658217740,14.41000000000000,26332.16666666670,2371.477777777780,302.7094736842100,121.2926315789470,2719.347222222220,32347.69444444440,946.208917500000,274.182526572824
2011-05-01,108.1830303030300,127.9628571428570,8931.67500000000,177.0950000000000,2587.21250000000,1143.436237283160,232.0740082191040,15.75000000000000,24164.55000000000,2159.600000000000,293.0576190476190,126.2961904761900,2419.637500000000,28571.40000000000,958.125962500000,286.209230450472
2011-06-01,105.8454545454550,128.3620129870130,9066.85227272727,170.8772727272730,2557.76136363636,1075.908424537370,223.8027415155450,16.29000000000000,22420.93181818180,2234.465909090910,277.7777272727270,122.1477272727270,2524.988636363640,25519.68181818180,973.158000000000,292.577954945768
2011-07-01,107.8793650793650,128.9892857142860,9650.46428571429,172.9761904761900,2525.42857142857,1033.572315339570,214.6401647449450,16.29000000000000,23847.95238095240,2397.754761904760,269.1800000000000,116.5755000000000,2681.023809523810,27398.09523809520,969.420000000000,307.397808109550
2011-08-01,100.4547826086960,127.4620129870130,8997.98863636364,177.4500000000000,2380.97500000000,1047.511691501890,212.1130042495180,17.70000000000000,21864.68181818180,2199.238636363640,273.5421739130440,118.9995652173910,2393.056818181820,24056.72727272730,973.598500000000,318.669735164991
2011-09-01,101.3551515151520,130.5618506493510,8300.13636363636,177.2272727272730,2293.46136363636,995.178815936620,206.4528127296310,17.78000000000000,20377.59090909090,2075.220454545450,275.5845454545460,113.9418181818180,2287.670454545450,22526.60227272730,952.681400000000,304.858912643353
2011-10-01,99.9198412698413,127.9127551020410,7394.19047619048,150.4333333333330,2180.64761904762,914.437416029703,184.2063484863600,17.60000000000000,19039.04761904760,1871.416666666670,248.4928571428570,107.3414285714290,1960.380952380950,21868.64285714290,954.175750000000,312.685371778148
2011-11-01,105.3624242424240,122.7452922077920,7581.02272727273,135.5409090909090,2079.98181818182,985.766474625382,152.9450491629920,17.89000000000000,17873.00000000000,1935.318181818180,249.5040000000000,108.1815000000000,1994.215909090910,21291.70454545450,892.750850000000,315.200485235813
2011-12-01,104.2636363636360,118.1764285714280,7558.87500000000,136.4550000000000,2024.37500000000,969.072523849640,153.5174402153750,18.05000000000000,18246.03750000000,1911.150000000000,243.1446666666670,114.0673333333330,2024.562500000000,19386.91250000000,888.436200000000,296.672810965210
2012-01-01,106.8930303030300,123.0857142857140,8061.91666666667,140.3476190476190,2151.33333333333,1020.535639728110,164.4751762924650,17.46000000000000,19908.61904761900,1989.226190476190,240.8900000000000,109.4030000000000,2100.214285714290,21547.70238095240,876.998650000000,311.712787595425
2012-02-01,112.7038095238100,124.9668367346940,8441.48809523810,140.3952380952380,2207.91666666667,1047.688491500720,181.5516419847330,16.71000000000000,20393.66666666670,2057.785714285710,225.4940000000000,111.2545000000000,2121.261904761900,24293.30952380950,885.068800000000,316.875297656348
2012-03-01,117.7850000000000,114.1509740259740,8470.78409090909,144.6636363636360,2184.15909090909,1105.741869408450,178.2187159032150,18.42000000000000,18660.80681818180,2035.925000000000,201.8509090909090,113.5968181818180,2056.693181818180,22985.43181818180,886.536000000000,301.784526584527
2012-04-01,113.7507936507940,110.3537593984960,8285.52631578947,147.6473684210530,2048.50526315789,1157.448522770150,174.4042057134560,19.57000000000000,17892.81578947370,2002.684210526320,193.3510000000000,111.7130000000000,2073.644736842110,22114.52631578950,896.380800000000,320.456852791878
2012-05-01,104.1581159420290,103.8194805194800,7896.90909090909,136.2727272727270,2002.52272727273,1031.124378516230,169.1056219954620,18.33000000000000,16968.31818181820,1928.011363636360,186.3459090909090,116.0077272727270,1999.250000000000,20295.34090909090,892.158400000000,331.805027579665
2012-06-01,90.7282539682540,92.7546992481201,7428.28947368421,134.6210526315790,1885.51315789474,927.627642250400,145.0914119310490,19.38000000000000,16603.68421052630,1855.934210526320,169.7895238095240,113.3447619047620,1850.957894736840,19255.39473684210,862.840000000000,318.564447915873
2012-07-01,96.7504545454546,91.3641233766233,7584.26136363636,127.9363636363640,1876.25000000000,952.539138657086,139.6323918119060,19.10000000000000,16128.40909090910,1847.750000000000,190.7728571428570,113.3695238095240,1881.477272727270,18546.09090909090,857.917500000000,313.180408068180
2012-08-01,105.2804347826090,93.4563311688310,7510.43181818182,107.7954545454550,1843.32727272727,930.614436340847,126.6928195378450,18.39000000000000,15703.98863636360,1816.318181818180,175.9669565217390,113.0139130434780,1897.772727272730,18675.55681818180,856.658250000000,323.451800847458
2012-09-01,106.3176666666670,93.1816071428570,8087.74250000000,99.4700000000000,2064.12000000000,879.533980138316,137.8219375674720,18.76000000000000,17287.96250000000,2009.850000000000,179.6031578947370,110.8652631578950,2177.675000000000,20771.26250000000,878.196650000000,323.552789882531
2012-10-01,103.3889855072460,86.8854037267080,8062.03260869565,113.9478260869570,1974.30434782609,768.090641601712,145.3291063972270,17.27000000000000,17168.73913043480,1903.958695652170,172.3740909090910,109.8890909090910,2141.967391304350,21233.69565217390,873.362500000000,315.017656312759
2012-11-01,101.1657575757580,87.2196428571427,7711.22727272727,120.3454545454550,1948.82954545455,743.129775031190,134.9050111648650,16.83000000000000,16335.36363636360,1912.397727272730,160.6425000000000,102.9410000000000,2181.965909090910,20713.06818181820,870.049147727273,326.531419418433
2012-12-01,101.1666666666670,96.0761278195487,7966.48684210526,128.8736842105260,2086.76315789474,713.936122329513,141.0537870472010,17.52000000000000,17448.50000000000,2040.428947368420,154.6300000000000,102.1035714285710,2279.802631578950,22880.89473684210,879.937535714286,299.156675105485
2013-01-01,105.0414492753620,96.9521103896102,8053.73863636364,150.4909090909090,2037.60681818182,776.540602794027,149.8506029899200,17.79000000000000,17494.06818181820,2031.409090909090,158.2728571428570,105.7876190476190,2334.465909090910,24598.89772727270,870.593663043479,302.021557803820
2013-02-01,107.6570000000000,100.3473214285710,8060.92500000000,154.6388888888890,2053.59500000000,792.380254670190,144.5096610249790,17.72000000000000,17690.10000000000,2128.687500000000,152.9984210526320,109.6978947368420,2365.787500000000,24211.73750000000,842.884737500000,304.968381222247
2013-03-01,102.6134920634920,97.3167857142855,7652.37500000000,139.8700000000000,1911.28250000000,771.870901696330,135.0482169262730,18.31000000000000,16731.70000000000,1929.150000000000,153.0115789473680,112.6684210526320,2173.350000000000,23302.00000000000,822.004035714286,311.847453954496
2013-04-01,98.8519696969697,93.2331632653060,7221.16190476190,137.3909090909090,1861.02380952381,756.461298988703,130.0368399913900,17.71000000000000,15629.30952380950,1855.600000000000,152.9595454545460,107.5804545454550,2024.369047619050,21589.64285714290,834.367750000000,324.082473752072
2013-05-01,99.3482608695652,93.1260204081631,7248.71428571429,124.0095238095240,1832.57142857143,763.381461314682,137.8036858527830,16.94000000000000,14948.22619047620,1831.011904761900,151.4254545454550,105.7636363636360,2031.892857142860,20781.61904761900,833.200739130435,357.960344447593
